year,folder_title,folder_url,file_title,file_url,file_id,local_path
2024,North West June Exam,https://drive.google.com/embeddedfolderview?id=1-WP8XZcdBjXxVj6G6zwnjIUZbuRb5CNU#list,NW-11-MATHS-LIT-P1-MG-AFR-ENG-JUNE-2024.pdf,https://drive.google.com/file/d/13lzpBLcii0k6MbN0w_xzoatX__NMUSzF/view?usp=drive_web,13lzpBLcii0k6MbN0w_xzoatX__NMUSzF,grade11_mathematical_literacy_papers\2024\NW-11-MATHS-LIT-P1-MG-AFR-ENG-JUNE-2024.pdf
2024,North West June Exam,https://drive.google.com/embeddedfolderview?id=1-WP8XZcdBjXxVj6G6zwnjIUZbuRb5CNU#list,NW-11-MATHS-LIT-P1-QP-AFR-JUNE-2024.pdf,https://drive.google.com/file/d/1HxmbS0h6Nh0QagHFgwm9n573jxlsuixu/view?usp=drive_web,1HxmbS0h6Nh0QagHFgwm9n573jxlsuixu,grade11_mathematical_literacy_papers\2024\NW-11-MATHS-LIT-P1-QP-AFR-JUNE-2024.pdf
2024,North West June Exam,https://drive.google.com/embeddedfolderview?id=1-WP8XZcdBjXxVj6G6zwnjIUZbuRb5CNU#list,NW-11-MATHS-LIT-P1-QP-ENG-JUNE-2024.pdf,https://drive.google.com/file/d/154-ZPklp5ujkACGi44xJV5vtiYJMUIX1/view?usp=drive_web,154-ZPklp5ujkACGi44xJV5vtiYJMUIX1,grade11_mathematical_literacy_papers\2024\NW-11-MATHS-LIT-P1-QP-ENG-JUNE-2024.pdf
2024,North West June Exam,https://drive.google.com/embeddedfolderview?id=1-WP8XZcdBjXxVj6G6zwnjIUZbuRb5CNU#list,NW-11-MATHS-LIT-P2-MG-AFR-JUNE-2024.pdf,https://drive.google.com/file/d/1yJlR8EQarQqJgvEOfllCNY6wRboiDlkf/view?usp=drive_web,1yJlR8EQarQqJgvEOfllCNY6wRboiDlkf,grade11_mathematical_literacy_papers\2024\NW-11-MATHS-LIT-P2-MG-AFR-JUNE-2024.pdf
2024,North West June Exam,https://drive.google.com/embeddedfolderview?id=1-WP8XZcdBjXxVj6G6zwnjIUZbuRb5CNU#list,NW-11-MATHS-LIT-P2-MG-ENG-JUNE-2024.pdf,https://drive.google.com/file/d/1v0dl-AnGSms4NNTeW8lKtQMD9DEYOj1o/view?usp=drive_web,1v0dl-AnGSms4NNTeW8lKtQMD9DEYOj1o,grade11_mathematical_literacy_papers\2024\NW-11-MATHS-LIT-P2-MG-ENG-JUNE-2024.pdf
2024,North West June Exam,https://drive.google.com/embeddedfolderview?id=1-WP8XZcdBjXxVj6G6zwnjIUZbuRb5CNU#list,NW-11-MATHS-LIT-P2-QP-AFR-JUNIE-2024.pdf,https://drive.google.com/file/d/128Ah3qXr0enhmZhaPccqQBcyV91RkM7L/view?usp=drive_web,128Ah3qXr0enhmZhaPccqQBcyV91RkM7L,grade11_mathematical_literacy_papers\2024\NW-11-MATHS-LIT-P2-QP-AFR-JUNIE-2024.pdf
2024,North West June Exam,https://drive.google.com/embeddedfolderview?id=1-WP8XZcdBjXxVj6G6zwnjIUZbuRb5CNU#list,NW-11-MATHS-LIT-P2-QP-ENG-JUNE-2024.pdf,https://drive.google.com/file/d/1ImPTO4_a0jUmA7yKOVJdRpyfU0IhpWzG/view?usp=drive_web,1ImPTO4_a0jUmA7yKOVJdRpyfU0IhpWzG,grade11_mathematical_literacy_papers\2024\NW-11-MATHS-LIT-P2-QP-ENG-JUNE-2024.pdf
2024,North West November Exam,https://drive.google.com/embeddedfolderview?id=155XEBg0wrSJvnh3sMCARjMMF-cPpDA3-#list,NW-11-MATHEMATICAL-LITERACY-P1-MG-AFRENG-NOV-2024.pdf,https://drive.google.com/file/d/18tuAg9YZCC5QnTJBl4byrJQpxicuqdSV/view?usp=drive_web,18tuAg9YZCC5QnTJBl4byrJQpxicuqdSV,grade11_mathematical_literacy_papers\2024\NW-11-MATHEMATICAL-LITERACY-P1-MG-AFRENG-NOV-2024.pdf
2024,North West November Exam,https://drive.google.com/embeddedfolderview?id=155XEBg0wrSJvnh3sMCARjMMF-cPpDA3-#list,NW-11-MATHEMATICAL-LITERACY-P1-MG-NOV-2024.pdf,https://drive.google.com/file/d/1Im__KxRtM44SYVzgdkG3Ec2hcYc2LFQv/view?usp=drive_web,1Im__KxRtM44SYVzgdkG3Ec2hcYc2LFQv,grade11_mathematical_literacy_papers\2024\NW-11-MATHEMATICAL-LITERACY-P1-MG-NOV-2024.pdf
2024,North West November Exam,https://drive.google.com/embeddedfolderview?id=155XEBg0wrSJvnh3sMCARjMMF-cPpDA3-#list,NW-11-MATHEMATICAL-LITERACY-P1-QP-AFR-NOV-2024.pdf,https://drive.google.com/file/d/11eXYcHOm_z6zpZ3r5pK6zcSuSYzXUyjA/view?usp=drive_web,11eXYcHOm_z6zpZ3r5pK6zcSuSYzXUyjA,grade11_mathematical_literacy_papers\2024\NW-11-MATHEMATICAL-LITERACY-P1-QP-AFR-NOV-2024.pdf
2024,North West November Exam,https://drive.google.com/embeddedfolderview?id=155XEBg0wrSJvnh3sMCARjMMF-cPpDA3-#list,NW-11-MATHEMATICAL-LITERACY-P1-QP-ENG-NOV-2024.pdf,https://drive.google.com/file/d/1JYSA8R9KJe09I4Ho9z6bmIGlZzDHacY6/view?usp=drive_web,1JYSA8R9KJe09I4Ho9z6bmIGlZzDHacY6,grade11_mathematical_literacy_papers\2024\NW-11-MATHEMATICAL-LITERACY-P1-QP-ENG-NOV-2024.pdf
2024,North West November Exam,https://drive.google.com/embeddedfolderview?id=155XEBg0wrSJvnh3sMCARjMMF-cPpDA3-#list,NW-11-MATHEMATICAL-LITERACY-P2-MGENG-NOV-2024.pdf,https://drive.google.com/file/d/18EZR9UdlgVkEUmwUKfwQanDDzS55G-d4/view?usp=drive_web,18EZR9UdlgVkEUmwUKfwQanDDzS55G-d4,grade11_mathematical_literacy_papers\2024\NW-11-MATHEMATICAL-LITERACY-P2-MGENG-NOV-2024.pdf
2024,North West November Exam,https://drive.google.com/embeddedfolderview?id=155XEBg0wrSJvnh3sMCARjMMF-cPpDA3-#list,NW-11-MATHEMATICAL-LITERACY-P2-QP-AFR-NOV-2024.pdf,https://drive.google.com/file/d/1XIc7cCfY968fR0oZXxyjWRdTHM3xJzCu/view?usp=drive_web,1XIc7cCfY968fR0oZXxyjWRdTHM3xJzCu,grade11_mathematical_literacy_papers\2024\NW-11-MATHEMATICAL-LITERACY-P2-QP-AFR-NOV-2024.pdf
2024,North West November Exam,https://drive.google.com/embeddedfolderview?id=155XEBg0wrSJvnh3sMCARjMMF-cPpDA3-#list,NW-11-MATHEMATICAL-LITERACY-P2-QP-ENG-NOV-2024.pdf,https://drive.google.com/file/d/13ibXiE5WNQyvHX2cmO07wRWLzMNvaemq/view?usp=drive_web,13ibXiE5WNQyvHX2cmO07wRWLzMNvaemq,grade11_mathematical_literacy_papers\2024\NW-11-MATHEMATICAL-LITERACY-P2-QP-ENG-NOV-2024.pdf
2024,Eastern Cape November Exam,https://drive.google.com/embeddedfolderview?id=1K8G364BuAFAjrSG5m6QwZmpZqOac9K6E#list,MATHS LIT P1 GR11 QP NOV 2024 AFR DD_watermark.pdf,https://drive.google.com/file/d/1X1t42fCyEki2Pg_VN40nDw8JLmJxJb-o/view?usp=drive_web,1X1t42fCyEki2Pg_VN40nDw8JLmJxJb-o,grade11_mathematical_literacy_papers\2024\MATHS LIT P1 GR11 QP NOV 2024 AFR DD_watermark.pdf
2024,Eastern Cape November Exam,https://drive.google.com/embeddedfolderview?id=1K8G364BuAFAjrSG5m6QwZmpZqOac9K6E#list,MATHS LIT P1 GR11 QP NOV 2024 ENG DD_watermark.pdf,https://drive.google.com/file/d/1n37gHcnS0MICLrV7mGoH_V0w2vVpm28e/view?usp=drive_web,1n37gHcnS0MICLrV7mGoH_V0w2vVpm28e,grade11_mathematical_literacy_papers\2024\MATHS LIT P1 GR11 QP NOV 2024 ENG DD_watermark.pdf
2024,Eastern Cape November Exam,https://drive.google.com/embeddedfolderview?id=1K8G364BuAFAjrSG5m6QwZmpZqOac9K6E#list,MATHS LIT P1 MEMO GR 11 NOV2024_English_watermark.pdf,https://drive.google.com/file/d/13RNaaq77T2Bnbppq8YXtzAH1edoerxef/view?usp=drive_web,13RNaaq77T2Bnbppq8YXtzAH1edoerxef,grade11_mathematical_literacy_papers\2024\MATHS LIT P1 MEMO GR 11 NOV2024_English_watermark.pdf
2024,Eastern Cape November Exam,https://drive.google.com/embeddedfolderview?id=1K8G364BuAFAjrSG5m6QwZmpZqOac9K6E#list,MATHS LIT P1 MEMO GR11 NOV2024_Afrikaans_watermark.pdf,https://drive.google.com/file/d/1UphmavNOwiY-nRj7BzLpvsihUa0mcsNl/view?usp=drive_web,1UphmavNOwiY-nRj7BzLpvsihUa0mcsNl,grade11_mathematical_literacy_papers\2024\MATHS LIT P1 MEMO GR11 NOV2024_Afrikaans_watermark.pdf
2024,Eastern Cape November Exam,https://drive.google.com/embeddedfolderview?id=1K8G364BuAFAjrSG5m6QwZmpZqOac9K6E#list,MATHS LIT P2 ADD GR11 NOV 2024  AFR D_watermark.pdf,https://drive.google.com/file/d/1_y2u9v8cj3WAI_Hy3gOMZmQ4vwOKOgMz/view?usp=drive_web,1_y2u9v8cj3WAI_Hy3gOMZmQ4vwOKOgMz,grade11_mathematical_literacy_papers\2024\MATHS LIT P2 ADD GR11 NOV 2024 AFR D_watermark.pdf
2024,Eastern Cape November Exam,https://drive.google.com/embeddedfolderview?id=1K8G364BuAFAjrSG5m6QwZmpZqOac9K6E#list,MATHS LIT P2 ADD GR11 NOV 2024 ENG D_watermark.pdf,https://drive.google.com/file/d/14RFLNSqS0xRE0XlTg8kIIRaYw1Q8gy5d/view?usp=drive_web,14RFLNSqS0xRE0XlTg8kIIRaYw1Q8gy5d,grade11_mathematical_literacy_papers\2024\MATHS LIT P2 ADD GR11 NOV 2024 ENG D_watermark.pdf
2024,Eastern Cape November Exam,https://drive.google.com/embeddedfolderview?id=1K8G364BuAFAjrSG5m6QwZmpZqOac9K6E#list,MATHS LIT P2 GRADE 11 NOV 2024  AFR D_watermark.pdf,https://drive.google.com/file/d/16aKPTJQHq1FMM_WwbW8sqHnRsip2Mipy/view?usp=drive_web,16aKPTJQHq1FMM_WwbW8sqHnRsip2Mipy,grade11_mathematical_literacy_papers\2024\MATHS LIT P2 GRADE 11 NOV 2024 AFR D_watermark.pdf
2024,Eastern Cape November Exam,https://drive.google.com/embeddedfolderview?id=1K8G364BuAFAjrSG5m6QwZmpZqOac9K6E#list,MATHS LIT P2 GRADE 11 NOV 2024  ENGLISH D_watermark.pdf,https://drive.google.com/file/d/1hgIadepxGrt9r5Cj8kcz6BjAbQylDVR7/view?usp=drive_web,1hgIadepxGrt9r5Cj8kcz6BjAbQylDVR7,grade11_mathematical_literacy_papers\2024\MATHS LIT P2 GRADE 11 NOV 2024 ENGLISH D_watermark.pdf
2024,Eastern Cape November Exam,https://drive.google.com/embeddedfolderview?id=1K8G364BuAFAjrSG5m6QwZmpZqOac9K6E#list,MATHS LIT P2 GRADE 11 NOV 2024 MARKING GUIDELINE_AFR_watermark.pdf,https://drive.google.com/file/d/1k6rGotCn3uWWKNe8aTzvzczZwOP2_XpS/view?usp=drive_web,1k6rGotCn3uWWKNe8aTzvzczZwOP2_XpS,grade11_mathematical_literacy_papers\2024\MATHS LIT P2 GRADE 11 NOV 2024 MARKING GUIDELINE_AFR_watermark.pdf
2024,Eastern Cape November Exam,https://drive.google.com/embeddedfolderview?id=1K8G364BuAFAjrSG5m6QwZmpZqOac9K6E#list,MATHS LIT P2 GRADE 11 NOV 2024 MARKING GUIDELINE_ENG_watermark.pdf,https://drive.google.com/file/d/17rHbOzMrjFfBd1WYPXJO0NYJtOvlF7Iv/view?usp=drive_web,17rHbOzMrjFfBd1WYPXJO0NYJtOvlF7Iv,grade11_mathematical_literacy_papers\2024\MATHS LIT P2 GRADE 11 NOV 2024 MARKING GUIDELINE_ENG_watermark.pdf
2023,Eastern Cape November Exam,https://drive.google.com/embeddedfolderview?id=175IhJvAUAmOnP4krk6p4o4_yiQkl60C1#list,MATHS LIT P1 MEMO GR11 NOV2023_Afrikaans.pdf,https://drive.google.com/file/d/1NGS-axLN4ey1BmvWxZX_L8k6hiUjqu0N/view?usp=drive_web,1NGS-axLN4ey1BmvWxZX_L8k6hiUjqu0N,grade11_mathematical_literacy_papers\2023\MATHS LIT P1 MEMO GR11 NOV2023_Afrikaans.pdf
2023,Eastern Cape November Exam,https://drive.google.com/embeddedfolderview?id=175IhJvAUAmOnP4krk6p4o4_yiQkl60C1#list,MATHS LIT P1 MEMO GR11 NOV2023_English.pdf,https://drive.google.com/file/d/1dGDUs0Pg_0SO7yazNlcDQ-6qoPyPg28n/view?usp=drive_web,1dGDUs0Pg_0SO7yazNlcDQ-6qoPyPg28n,grade11_mathematical_literacy_papers\2023\MATHS LIT P1 MEMO GR11 NOV2023_English.pdf
